scenario,run #,electricity cost ($/kWh),electricity emission factor (kg CO2/kWh),hydrogen purchase cost ($/kg),formic acid production pathway
baseline,0,0.1709,0.228,0.31,electro
delivery only,1,0.1709,0.0,0.0,purchase
closed loop,2,0.1709,0.0,0.31,electro
cloosed loop - 0.02 $/kWh,3,0.02,0.0,0.31,electro
cloosed loop - 0.04 $/kWh,4,0.04,0.0,0.31,electro
cloosed loop - 0.06 $/kWh,5,0.06,0.0,0.31,electro
cloosed loop - 0.08 $/kWh,6,0.08,0.0,0.31,electro
cloosed loop - 0.10 $/kWh,7,0.1,0.0,0.31,electro
cloosed loop - 0.12 $/kWh,8,0.12000000000000001,0.0,0.31,electro
cloosed loop - 0.14 $/kWh,9,0.14,0.0,0.31,electro
cloosed loop - 0.16 $/kWh,10,0.16,0.0,0.31,electro
cloosed loop - 0.18 $/kWh,11,0.18,0.0,0.31,electro
cloosed loop - 0.20 $/kWh,12,0.19999999999999998,0.0,0.31,electro
cloosed loop - 0.22 $/kWh,13,0.21999999999999997,0.0,0.31,electro
cloosed loop - 0.24 $/kWh,14,0.23999999999999996,0.0,0.31,electro
cloosed loop - 0.26 $/kWh,15,0.25999999999999995,0.0,0.31,electro
cloosed loop - 0.28 $/kWh,16,0.27999999999999997,0.0,0.31,electro
cloosed loop - 0.30 $/kWh,17,0.3,0.0,0.31,electro
