scenario,run #,output dollar year,target station capacity (kg/day),station annual capacity factor,target number of stations,one-way delivery distance (mile),electricity cost ($/kWh),diesel cost ($/gallon),electricity emission factor (kg CO2/kWh),diesel emission factor (kg CO2/gallon),hydrogen prod. emission factor (kg CO2-eq/kg),LOHC prod. emission factor (kg CO2-eq/kg),hydrogen purchase cost ($/kg),LOHC purchase cost ($/kg),LOHC name,LOHC molar mass (kg/kmol),LOHC density (kg/m^3),stoic. ratio (mol H2/mol LOHC),stoic. ratio (mol CO2/mol LOHC),LOHC production pathway,hydr. reaction temperature (K),hydr. reaction pressure (bar),hydr. reaction yield,hydr. reactor volume (m^3),number of hydr. reactors,hydr. catalyst amount (kg),hydr. catalyst cost ($/kg),hydr. catalyst lifetime (yr),hydr. reactor energy (unit TBD),hydr. LOHC output flowrate (kg/s),hydr. electrolyzer cell area (m^2/cell),hydr. electrolyzer voltage (V),hydr. electrolyzer current density (A/m^2),hydr. electrolyzer purchase cost ($/m^2),hydr. electrolyzer catalyst cost fraction,hydr. separator energy (unit TBD),terminal LOHC storage amount (days),terminal compressed hydrogen storage amount (days),terminal liquid hydrogen storage amount (days),dehydr. reaction temperature (K),dehydr. reaction pressure (bar),dehydr. reaction yield,dehydr. reactor volume (m^3),number of dehydr. reactors,dehydr. catalyst amount (kg),dehydr. catalyst cost ($/kg),dehydr. catalyst lifetime (yr),dehydr. reactor energy (unit TBD),dehydr. gas/liquid separator energy (unit TBD),station LOHC storage amount (days),pathway,process,function,total levelized cost of hydrogen ($/kg H2)
baseline,0,2022,1000,1.0,10,100,0.1709,6.028,0.228,10.18,0,0,0.31,0,formic acid,46.025,1220,1,1,electro,366.15,105,1,1,1,53,5450,1,0,2.6426092969379242,5539.862205650312,1.27,2000,5250,0.45,0,0.25,0.25,1,300,1,0.9999,0.0731028611028611,1,9.64671203342243,3500,1,0,0,1,LOHC - formic acid,reconditioning,reaction,0.1702026011236878
baseline,0,2022,1000,1.0,10,100,0.1709,6.028,0.228,10.18,0,0,0.31,0,formic acid,46.025,1220,1,1,electro,366.15,105,1,1,1,53,5450,1,0,2.6426092969379242,5539.862205650312,1.27,2000,5250,0.45,0,0.25,0.25,1,300,1,0.9999,0.0731028611028611,1,9.64671203342243,3500,1,0,0,1,LOHC - formic acid,reconditioning,separation,2.6728085106197597
baseline,0,2022,1000,1.0,10,100,0.1709,6.028,0.228,10.18,0,0,0.31,0,formic acid,46.025,1220,1,1,electro,366.15,105,1,1,1,53,5450,1,0,2.6426092969379242,5539.862205650312,1.27,2000,5250,0.45,0,0.25,0.25,1,300,1,0.9999,0.0731028611028611,1,9.64671203342243,3500,1,0,0,1,LOHC - formic acid,reconditioning,storage,0.4556250391826002
baseline,0,2022,1000,1.0,10,100,0.1709,6.028,0.228,10.18,0,0,0.31,0,formic acid,46.025,1220,1,1,electro,366.15,105,1,1,1,53,5450,1,0,2.6426092969379242,5539.862205650312,1.27,2000,5250,0.45,0,0.25,0.25,1,300,1,0.9999,0.0731028611028611,1,9.64671203342243,3500,1,0,0,1,LOHC - formic acid,transport,trucking,0.9944972300879655
baseline,0,2022,1000,1.0,10,100,0.1709,6.028,0.228,10.18,0,0,0.31,0,formic acid,46.025,1220,1,1,electro,366.15,105,1,1,1,53,5450,1,0,2.6426092969379242,5539.862205650312,1.27,2000,5250,0.45,0,0.25,0.25,1,300,1,0.9999,0.0731028611028611,1,9.64671203342243,3500,1,0,0,1,compressed hydrogen,preconditioning,compression,1.8376009392312618
baseline,0,2022,1000,1.0,10,100,0.1709,6.028,0.228,10.18,0,0,0.31,0,formic acid,46.025,1220,1,1,electro,366.15,105,1,1,1,53,5450,1,0,2.6426092969379242,5539.862205650312,1.27,2000,5250,0.45,0,0.25,0.25,1,300,1,0.9999,0.0731028611028611,1,9.64671203342243,3500,1,0,0,1,compressed hydrogen,preconditioning,storage,0.6433693030665757
baseline,0,2022,1000,1.0,10,100,0.1709,6.028,0.228,10.18,0,0,0.31,0,formic acid,46.025,1220,1,1,electro,366.15,105,1,1,1,53,5450,1,0,2.6426092969379242,5539.862205650312,1.27,2000,5250,0.45,0,0.25,0.25,1,300,1,0.9999,0.0731028611028611,1,9.64671203342243,3500,1,0,0,1,compressed hydrogen,production,purchase,0.31
baseline,0,2022,1000,1.0,10,100,0.1709,6.028,0.228,10.18,0,0,0.31,0,formic acid,46.025,1220,1,1,electro,366.15,105,1,1,1,53,5450,1,0,2.6426092969379242,5539.862205650312,1.27,2000,5250,0.45,0,0.25,0.25,1,300,1,0.9999,0.0731028611028611,1,9.64671203342243,3500,1,0,0,1,compressed hydrogen,reconditioning,compression,1.8688441753736176
baseline,0,2022,1000,1.0,10,100,0.1709,6.028,0.228,10.18,0,0,0.31,0,formic acid,46.025,1220,1,1,electro,366.15,105,1,1,1,53,5450,1,0,2.6426092969379242,5539.862205650312,1.27,2000,5250,0.45,0,0.25,0.25,1,300,1,0.9999,0.0731028611028611,1,9.64671203342243,3500,1,0,0,1,compressed hydrogen,reconditioning,cooling,0.17969357164601973
baseline,0,2022,1000,1.0,10,100,0.1709,6.028,0.228,10.18,0,0,0.31,0,formic acid,46.025,1220,1,1,electro,366.15,105,1,1,1,53,5450,1,0,2.6426092969379242,5539.862205650312,1.27,2000,5250,0.45,0,0.25,0.25,1,300,1,0.9999,0.0731028611028611,1,9.64671203342243,3500,1,0,0,1,compressed hydrogen,reconditioning,storage,0.4549563888590898
baseline,0,2022,1000,1.0,10,100,0.1709,6.028,0.228,10.18,0,0,0.31,0,formic acid,46.025,1220,1,1,electro,366.15,105,1,1,1,53,5450,1,0,2.6426092969379242,5539.862205650312,1.27,2000,5250,0.45,0,0.25,0.25,1,300,1,0.9999,0.0731028611028611,1,9.64671203342243,3500,1,0,0,1,compressed hydrogen,transport,trucking,0.877489096338476
baseline,0,2022,1000,1.0,10,100,0.1709,6.028,0.228,10.18,0,0,0.31,0,formic acid,46.025,1220,1,1,electro,366.15,105,1,1,1,53,5450,1,0,2.6426092969379242,5539.862205650312,1.27,2000,5250,0.45,0,0.25,0.25,1,300,1,0.9999,0.0731028611028611,1,9.64671203342243,3500,1,0,0,1,liquid hydrogen,preconditioning,liquefaction,4.4352310750937525
baseline,0,2022,1000,1.0,10,100,0.1709,6.028,0.228,10.18,0,0,0.31,0,formic acid,46.025,1220,1,1,electro,366.15,105,1,1,1,53,5450,1,0,2.6426092969379242,5539.862205650312,1.27,2000,5250,0.45,0,0.25,0.25,1,300,1,0.9999,0.0731028611028611,1,9.64671203342243,3500,1,0,0,1,liquid hydrogen,preconditioning,pumping,0.022451012153437658
baseline,0,2022,1000,1.0,10,100,0.1709,6.028,0.228,10.18,0,0,0.31,0,formic acid,46.025,1220,1,1,electro,366.15,105,1,1,1,53,5450,1,0,2.6426092969379242,5539.862205650312,1.27,2000,5250,0.45,0,0.25,0.25,1,300,1,0.9999,0.0731028611028611,1,9.64671203342243,3500,1,0,0,1,liquid hydrogen,preconditioning,storage,0.33050496288526227
baseline,0,2022,1000,1.0,10,100,0.1709,6.028,0.228,10.18,0,0,0.31,0,formic acid,46.025,1220,1,1,electro,366.15,105,1,1,1,53,5450,1,0,2.6426092969379242,5539.862205650312,1.27,2000,5250,0.45,0,0.25,0.25,1,300,1,0.9999,0.0731028611028611,1,9.64671203342243,3500,1,0,0,1,liquid hydrogen,production,purchase,0.31
baseline,0,2022,1000,1.0,10,100,0.1709,6.028,0.228,10.18,0,0,0.31,0,formic acid,46.025,1220,1,1,electro,366.15,105,1,1,1,53,5450,1,0,2.6426092969379242,5539.862205650312,1.27,2000,5250,0.45,0,0.25,0.25,1,300,1,0.9999,0.0731028611028611,1,9.64671203342243,3500,1,0,0,1,liquid hydrogen,reconditioning,pumping,1.2204120595748962
baseline,0,2022,1000,1.0,10,100,0.1709,6.028,0.228,10.18,0,0,0.31,0,formic acid,46.025,1220,1,1,electro,366.15,105,1,1,1,53,5450,1,0,2.6426092969379242,5539.862205650312,1.27,2000,5250,0.45,0,0.25,0.25,1,300,1,0.9999,0.0731028611028611,1,9.64671203342243,3500,1,0,0,1,liquid hydrogen,reconditioning,storage,0.6002544420293927
baseline,0,2022,1000,1.0,10,100,0.1709,6.028,0.228,10.18,0,0,0.31,0,formic acid,46.025,1220,1,1,electro,366.15,105,1,1,1,53,5450,1,0,2.6426092969379242,5539.862205650312,1.27,2000,5250,0.45,0,0.25,0.25,1,300,1,0.9999,0.0731028611028611,1,9.64671203342243,3500,1,0,0,1,liquid hydrogen,reconditioning,vaporization,0.04555955230763742
baseline,0,2022,1000,1.0,10,100,0.1709,6.028,0.228,10.18,0,0,0.31,0,formic acid,46.025,1220,1,1,electro,366.15,105,1,1,1,53,5450,1,0,2.6426092969379242,5539.862205650312,1.27,2000,5250,0.45,0,0.25,0.25,1,300,1,0.9999,0.0731028611028611,1,9.64671203342243,3500,1,0,0,1,liquid hydrogen,transport,trucking,0.30940815950784856
FA - delivery only,1,2022,1000,1.0,10,100,0.1709,6.028,0.0,10.18,0,0,0.0,0,formic acid,46.025,1220,1,1,purchase,366.15,105,1,1,1,53,5450,1,0,2.6426092969379242,5539.862205650312,1.27,2000,5250,0.45,0,0.25,0.25,1,300,1,0.9999,0.0731028611028611,1,9.64671203342243,3500,1,0,0,1,LOHC - formic acid,preconditioning,pumping,0.0
FA - delivery only,1,2022,1000,1.0,10,100,0.1709,6.028,0.0,10.18,0,0,0.0,0,formic acid,46.025,1220,1,1,purchase,366.15,105,1,1,1,53,5450,1,0,2.6426092969379242,5539.862205650312,1.27,2000,5250,0.45,0,0.25,0.25,1,300,1,0.9999,0.0731028611028611,1,9.64671203342243,3500,1,0,0,1,LOHC - formic acid,preconditioning,storage,0.16341579864049147
FA - delivery only,1,2022,1000,1.0,10,100,0.1709,6.028,0.0,10.18,0,0,0.0,0,formic acid,46.025,1220,1,1,purchase,366.15,105,1,1,1,53,5450,1,0,2.6426092969379242,5539.862205650312,1.27,2000,5250,0.45,0,0.25,0.25,1,300,1,0.9999,0.0731028611028611,1,9.64671203342243,3500,1,0,0,1,LOHC - formic acid,production,CO2 recycling,0.0
FA - delivery only,1,2022,1000,1.0,10,100,0.1709,6.028,0.0,10.18,0,0,0.0,0,formic acid,46.025,1220,1,1,purchase,366.15,105,1,1,1,53,5450,1,0,2.6426092969379242,5539.862205650312,1.27,2000,5250,0.45,0,0.25,0.25,1,300,1,0.9999,0.0731028611028611,1,9.64671203342243,3500,1,0,0,1,LOHC - formic acid,production,compression,0.0
FA - delivery only,1,2022,1000,1.0,10,100,0.1709,6.028,0.0,10.18,0,0,0.0,0,formic acid,46.025,1220,1,1,purchase,366.15,105,1,1,1,53,5450,1,0,2.6426092969379242,5539.862205650312,1.27,2000,5250,0.45,0,0.25,0.25,1,300,1,0.9999,0.0731028611028611,1,9.64671203342243,3500,1,0,0,1,LOHC - formic acid,production,pumping,0.0
FA - delivery only,1,2022,1000,1.0,10,100,0.1709,6.028,0.0,10.18,0,0,0.0,0,formic acid,46.025,1220,1,1,purchase,366.15,105,1,1,1,53,5450,1,0,2.6426092969379242,5539.862205650312,1.27,2000,5250,0.45,0,0.25,0.25,1,300,1,0.9999,0.0731028611028611,1,9.64671203342243,3500,1,0,0,1,LOHC - formic acid,production,purchase,0.0
FA - delivery only,1,2022,1000,1.0,10,100,0.1709,6.028,0.0,10.18,0,0,0.0,0,formic acid,46.025,1220,1,1,purchase,366.15,105,1,1,1,53,5450,1,0,2.6426092969379242,5539.862205650312,1.27,2000,5250,0.45,0,0.25,0.25,1,300,1,0.9999,0.0731028611028611,1,9.64671203342243,3500,1,0,0,1,LOHC - formic acid,production,reaction,0.0
FA - delivery only,1,2022,1000,1.0,10,100,0.1709,6.028,0.0,10.18,0,0,0.0,0,formic acid,46.025,1220,1,1,purchase,366.15,105,1,1,1,53,5450,1,0,2.6426092969379242,5539.862205650312,1.27,2000,5250,0.45,0,0.25,0.25,1,300,1,0.9999,0.0731028611028611,1,9.64671203342243,3500,1,0,0,1,LOHC - formic acid,production,separation,0.0
FA - delivery only,1,2022,1000,1.0,10,100,0.1709,6.028,0.0,10.18,0,0,0.0,0,formic acid,46.025,1220,1,1,purchase,366.15,105,1,1,1,53,5450,1,0,2.6426092969379242,5539.862205650312,1.27,2000,5250,0.45,0,0.25,0.25,1,300,1,0.9999,0.0731028611028611,1,9.64671203342243,3500,1,0,0,1,LOHC - formic acid,production,vaporization,0.0
FA - delivery only,1,2022,1000,1.0,10,100,0.1709,6.028,0.0,10.18,0,0,0.0,0,formic acid,46.025,1220,1,1,purchase,366.15,105,1,1,1,53,5450,1,0,2.6426092969379242,5539.862205650312,1.27,2000,5250,0.45,0,0.25,0.25,1,300,1,0.9999,0.0731028611028611,1,9.64671203342243,3500,1,0,0,1,LOHC - formic acid,reconditioning,compression,2.6047535726132467
FA - delivery only,1,2022,1000,1.0,10,100,0.1709,6.028,0.0,10.18,0,0,0.0,0,formic acid,46.025,1220,1,1,purchase,366.15,105,1,1,1,53,5450,1,0,2.6426092969379242,5539.862205650312,1.27,2000,5250,0.45,0,0.25,0.25,1,300,1,0.9999,0.0731028611028611,1,9.64671203342243,3500,1,0,0,1,LOHC - formic acid,reconditioning,cooling,0.1840680600871349
FA - delivery only,1,2022,1000,1.0,10,100,0.1709,6.028,0.0,10.18,0,0,0.0,0,formic acid,46.025,1220,1,1,purchase,366.15,105,1,1,1,53,5450,1,0,2.6426092969379242,5539.862205650312,1.27,2000,5250,0.45,0,0.25,0.25,1,300,1,0.9999,0.0731028611028611,1,9.64671203342243,3500,1,0,0,1,LOHC - formic acid,reconditioning,pumping,0.0
FA - delivery only,1,2022,1000,1.0,10,100,0.1709,6.028,0.0,10.18,0,0,0.0,0,formic acid,46.025,1220,1,1,purchase,366.15,105,1,1,1,53,5450,1,0,2.6426092969379242,5539.862205650312,1.27,2000,5250,0.45,0,0.25,0.25,1,300,1,0.9999,0.0731028611028611,1,9.64671203342243,3500,1,0,0,1,LOHC - formic acid,reconditioning,reaction,0.1702026011236878
FA - delivery only,1,2022,1000,1.0,10,100,0.1709,6.028,0.0,10.18,0,0,0.0,0,formic acid,46.025,1220,1,1,purchase,366.15,105,1,1,1,53,5450,1,0,2.6426092969379242,5539.862205650312,1.27,2000,5250,0.45,0,0.25,0.25,1,300,1,0.9999,0.0731028611028611,1,9.64671203342243,3500,1,0,0,1,LOHC - formic acid,reconditioning,separation,2.6728085106197597
FA - delivery only,1,2022,1000,1.0,10,100,0.1709,6.028,0.0,10.18,0,0,0.0,0,formic acid,46.025,1220,1,1,purchase,366.15,105,1,1,1,53,5450,1,0,2.6426092969379242,5539.862205650312,1.27,2000,5250,0.45,0,0.25,0.25,1,300,1,0.9999,0.0731028611028611,1,9.64671203342243,3500,1,0,0,1,LOHC - formic acid,reconditioning,storage,0.4556250391826002
FA - delivery only,1,2022,1000,1.0,10,100,0.1709,6.028,0.0,10.18,0,0,0.0,0,formic acid,46.025,1220,1,1,purchase,366.15,105,1,1,1,53,5450,1,0,2.6426092969379242,5539.862205650312,1.27,2000,5250,0.45,0,0.25,0.25,1,300,1,0.9999,0.0731028611028611,1,9.64671203342243,3500,1,0,0,1,LOHC - formic acid,transport,trucking,0.9944972300879655
FA - delivery only,1,2022,1000,1.0,10,100,0.1709,6.028,0.0,10.18,0,0,0.0,0,formic acid,46.025,1220,1,1,purchase,366.15,105,1,1,1,53,5450,1,0,2.6426092969379242,5539.862205650312,1.27,2000,5250,0.45,0,0.25,0.25,1,300,1,0.9999,0.0731028611028611,1,9.64671203342243,3500,1,0,0,1,compressed hydrogen,preconditioning,compression,1.8376009392312618
FA - delivery only,1,2022,1000,1.0,10,100,0.1709,6.028,0.0,10.18,0,0,0.0,0,formic acid,46.025,1220,1,1,purchase,366.15,105,1,1,1,53,5450,1,0,2.6426092969379242,5539.862205650312,1.27,2000,5250,0.45,0,0.25,0.25,1,300,1,0.9999,0.0731028611028611,1,9.64671203342243,3500,1,0,0,1,compressed hydrogen,preconditioning,storage,0.6433693030665757
FA - delivery only,1,2022,1000,1.0,10,100,0.1709,6.028,0.0,10.18,0,0,0.0,0,formic acid,46.025,1220,1,1,purchase,366.15,105,1,1,1,53,5450,1,0,2.6426092969379242,5539.862205650312,1.27,2000,5250,0.45,0,0.25,0.25,1,300,1,0.9999,0.0731028611028611,1,9.64671203342243,3500,1,0,0,1,compressed hydrogen,production,purchase,0.0
FA - delivery only,1,2022,1000,1.0,10,100,0.1709,6.028,0.0,10.18,0,0,0.0,0,formic acid,46.025,1220,1,1,purchase,366.15,105,1,1,1,53,5450,1,0,2.6426092969379242,5539.862205650312,1.27,2000,5250,0.45,0,0.25,0.25,1,300,1,0.9999,0.0731028611028611,1,9.64671203342243,3500,1,0,0,1,compressed hydrogen,reconditioning,compression,1.8688441753736176
FA - delivery only,1,2022,1000,1.0,10,100,0.1709,6.028,0.0,10.18,0,0,0.0,0,formic acid,46.025,1220,1,1,purchase,366.15,105,1,1,1,53,5450,1,0,2.6426092969379242,5539.862205650312,1.27,2000,5250,0.45,0,0.25,0.25,1,300,1,0.9999,0.0731028611028611,1,9.64671203342243,3500,1,0,0,1,compressed hydrogen,reconditioning,cooling,0.17969357164601973
FA - delivery only,1,2022,1000,1.0,10,100,0.1709,6.028,0.0,10.18,0,0,0.0,0,formic acid,46.025,1220,1,1,purchase,366.15,105,1,1,1,53,5450,1,0,2.6426092969379242,5539.862205650312,1.27,2000,5250,0.45,0,0.25,0.25,1,300,1,0.9999,0.0731028611028611,1,9.64671203342243,3500,1,0,0,1,compressed hydrogen,reconditioning,storage,0.4549563888590898
FA - delivery only,1,2022,1000,1.0,10,100,0.1709,6.028,0.0,10.18,0,0,0.0,0,formic acid,46.025,1220,1,1,purchase,366.15,105,1,1,1,53,5450,1,0,2.6426092969379242,5539.862205650312,1.27,2000,5250,0.45,0,0.25,0.25,1,300,1,0.9999,0.0731028611028611,1,9.64671203342243,3500,1,0,0,1,compressed hydrogen,transport,trucking,0.877489096338476
FA - delivery only,1,2022,1000,1.0,10,100,0.1709,6.028,0.0,10.18,0,0,0.0,0,formic acid,46.025,1220,1,1,purchase,366.15,105,1,1,1,53,5450,1,0,2.6426092969379242,5539.862205650312,1.27,2000,5250,0.45,0,0.25,0.25,1,300,1,0.9999,0.0731028611028611,1,9.64671203342243,3500,1,0,0,1,liquid hydrogen,preconditioning,liquefaction,4.4352310750937525
FA - delivery only,1,2022,1000,1.0,10,100,0.1709,6.028,0.0,10.18,0,0,0.0,0,formic acid,46.025,1220,1,1,purchase,366.15,105,1,1,1,53,5450,1,0,2.6426092969379242,5539.862205650312,1.27,2000,5250,0.45,0,0.25,0.25,1,300,1,0.9999,0.0731028611028611,1,9.64671203342243,3500,1,0,0,1,liquid hydrogen,preconditioning,pumping,0.022451012153437658
FA - delivery only,1,2022,1000,1.0,10,100,0.1709,6.028,0.0,10.18,0,0,0.0,0,formic acid,46.025,1220,1,1,purchase,366.15,105,1,1,1,53,5450,1,0,2.6426092969379242,5539.862205650312,1.27,2000,5250,0.45,0,0.25,0.25,1,300,1,0.9999,0.0731028611028611,1,9.64671203342243,3500,1,0,0,1,liquid hydrogen,preconditioning,storage,0.33050496288526227
FA - delivery only,1,2022,1000,1.0,10,100,0.1709,6.028,0.0,10.18,0,0,0.0,0,formic acid,46.025,1220,1,1,purchase,366.15,105,1,1,1,53,5450,1,0,2.6426092969379242,5539.862205650312,1.27,2000,5250,0.45,0,0.25,0.25,1,300,1,0.9999,0.0731028611028611,1,9.64671203342243,3500,1,0,0,1,liquid hydrogen,production,purchase,0.0
FA - delivery only,1,2022,1000,1.0,10,100,0.1709,6.028,0.0,10.18,0,0,0.0,0,formic acid,46.025,1220,1,1,purchase,366.15,105,1,1,1,53,5450,1,0,2.6426092969379242,5539.862205650312,1.27,2000,5250,0.45,0,0.25,0.25,1,300,1,0.9999,0.0731028611028611,1,9.64671203342243,3500,1,0,0,1,liquid hydrogen,reconditioning,pumping,1.2204120595748962
FA - delivery only,1,2022,1000,1.0,10,100,0.1709,6.028,0.0,10.18,0,0,0.0,0,formic acid,46.025,1220,1,1,purchase,366.15,105,1,1,1,53,5450,1,0,2.6426092969379242,5539.862205650312,1.27,2000,5250,0.45,0,0.25,0.25,1,300,1,0.9999,0.0731028611028611,1,9.64671203342243,3500,1,0,0,1,liquid hydrogen,reconditioning,storage,0.6002544420293927
FA - delivery only,1,2022,1000,1.0,10,100,0.1709,6.028,0.0,10.18,0,0,0.0,0,formic acid,46.025,1220,1,1,purchase,366.15,105,1,1,1,53,5450,1,0,2.6426092969379242,5539.862205650312,1.27,2000,5250,0.45,0,0.25,0.25,1,300,1,0.9999,0.0731028611028611,1,9.64671203342243,3500,1,0,0,1,liquid hydrogen,reconditioning,vaporization,0.04555955230763742
FA - delivery only,1,2022,1000,1.0,10,100,0.1709,6.028,0.0,10.18,0,0,0.0,0,formic acid,46.025,1220,1,1,purchase,366.15,105,1,1,1,53,5450,1,0,2.6426092969379242,5539.862205650312,1.27,2000,5250,0.45,0,0.25,0.25,1,300,1,0.9999,0.0731028611028611,1,9.64671203342243,3500,1,0,0,1,liquid hydrogen,transport,trucking,0.30940815950784856
FA - closed loop,2,2022,1000,1.0,10,100,0.1709,6.028,0.0,10.18,0,0,0.31,0,formic acid,46.025,1220,1,1,electro,366.15,105,1,1,1,53,5450,1,0,2.6426092969379242,5539.862205650312,1.27,2000,5250,0.45,0,0.25,0.25,1,300,1,0.9999,0.0731028611028611,1,9.64671203342243,3500,1,0,0,1,LOHC - formic acid,preconditioning,pumping,0.0
