scenario,run #,dehydr. reaction temperature (K),dehydr. reaction pressure (bar),dehydr. reactor volume (m^3),dehydr. catalyst amount (kg),dehydr. catalyst cost ($/kg),dehydr. catalyst lifetime (yr)
baseline,0,300.0,1.0,0.0731028611028611,9.64671203342243,3500.0,1.0
Pd 4nm,1,300.0,1.0,0.0731028611028611,9.646712033422434,3500.0,10.0
Pd 4nm,2,310.5263157894737,1.0,0.0306770616770616,4.048169600554391,3500.0,10.0
Pd 4nm,3,321.0526315789474,1.0,0.0136387486387486,1.7997801813681762,3500.0,10.0
Pd 4nm,4,331.578947368421,1.0,0.00637946737946737,0.8418396189684176,3500.0,10.0
Pd 4nm,5,342.1052631578947,1.0,0.00312978912978913,0.4130094773982774,3500.0,10.0
Pd 4nm,6,352.6315789473684,1.0,0.0015999405999406,0.21112944152064153,3500.0,10.0
Pd 4nm,7,363.1578947368421,1.0,0.00084999324999325,0.11216578926370925,3500.0,10.0
Pd 4nm,8,373.6842105263158,1.0,0.00046999666999667,0.062021136570096565,3500.0,10.0
Pd 4nm,9,384.2105263157895,1.0,0.00026999846999847,0.035629214099774105,3500.0,10.0
Pd 4nm,10,300.0,100.0,0.076013986013986,10.030866405594402,3500.0,10.0
Pd 4nm,11,310.5263157894737,100.0,0.0311388611388611,4.109109026973021,3500.0,10.0
Pd 4nm,12,321.0526315789474,100.0,0.0134965034965034,1.7810093986013857,3500.0,10.0
Pd 4nm,13,331.578947368421,100.0,0.00616948816948817,0.8141305944361944,3500.0,10.0
Pd 4nm,14,342.1052631578947,100.0,0.00295980595980596,0.39057836230076226,3500.0,10.0
Pd 4nm,15,352.6315789473684,100.0,0.00148995148995149,0.19661519057519058,3500.0,10.0
Pd 4nm,16,363.1578947368421,100.0,0.00077999387999388,0.1029286163990964,3500.0,10.0
Pd 4nm,17,373.6842105263158,100.0,0.00041999711999712,0.05542315595251596,3500.0,10.0
Pd 4nm,18,384.2105263157895,100.0,0.000233986733986733,0.03087707660627648,3500.0,10.0
Pt 4nm,19,300.0,1.0,18.9521829521829,2500.4621178112193,3000.0,10.0
Pt 4nm,20,310.5263157894737,1.0,5.73804573804573,757.0508386528055,3000.0,10.0
Pt 4nm,21,321.0526315789474,1.0,2.2,290.25768024,3000.0,10.0
Pt 4nm,22,331.578947368421,1.0,1.0,131.93530919999998,3000.0,10.0
Pt 4nm,23,342.1052631578947,1.0,0.45,59.37088914,3000.0,10.0
Pt 4nm,24,352.6315789473684,1.0,0.21,27.706414931999998,3000.0,10.0
Pt 4nm,25,363.1578947368421,1.0,0.1,13.193530919999999,3000.0,10.0
Pt 4nm,26,373.6842105263158,1.0,0.052,6.860636078399999,3000.0,10.0
Pt 4nm,27,384.2105263157895,1.0,0.03,3.9580592759999993,3000.0,10.0
Pt 4nm,28,300.0,100.0,18.9521829521829,2500.4621178112193,3000.0,10.0
Pt 4nm,29,310.5263157894737,100.0,5.73804573804573,757.0508386528055,3000.0,10.0
Pt 4nm,30,321.0526315789474,100.0,2.2,290.25768024,3000.0,10.0
Pt 4nm,31,331.578947368421,100.0,0.83,109.50630663599998,3000.0,10.0
Pt 4nm,32,342.1052631578947,100.0,0.35,46.177358219999995,3000.0,10.0
Pt 4nm,33,352.6315789473684,100.0,0.15,19.790296379999997,3000.0,10.0
Pt 4nm,34,363.1578947368421,100.0,0.069,9.103536334800001,3000.0,10.0
Pt 4nm,35,373.6842105263158,100.0,0.033,4.353865203600001,3000.0,10.0
Pt 4nm,36,384.2105263157895,100.0,0.017,2.2429002563999996,3000.0,10.0
Cu 4nm,37,300.0,1.0,1.54360954360954,203.63528023284775,1400.0,10.0
Cu 4nm,38,310.5263157894737,1.0,1.02910602910602,135.76120690228566,1400.0,10.0
Cu 4nm,39,321.0526315789474,1.0,0.78,102.89876688,1400.0,10.0
Cu 4nm,40,331.578947368421,1.0,0.58,76.51446767999998,1400.0,10.0
Cu 4nm,41,342.1052631578947,1.0,0.41,54.08781336,1400.0,10.0
Cu 4nm,42,352.6315789473684,1.0,0.29,38.25723383999999,1400.0,10.0
Cu 4nm,43,363.1578947368421,1.0,0.22,29.022729119999997,1400.0,10.0
Cu 4nm,44,373.6842105263158,1.0,0.17,22.42665432,1400.0,10.0
Cu 4nm,45,384.2105263157895,1.0,0.12,15.830579519999997,1400.0,10.0
Cu 4nm,46,300.0,100.0,0.108391608391608,14.29918313286708,1400.0,10.0
Cu 4nm,47,310.5263157894737,100.0,0.0561954261954261,7.413384692058198,1400.0,10.0
Cu 4nm,48,321.0526315789474,100.0,0.035,4.61725236,1400.0,10.0
Cu 4nm,49,331.578947368421,100.0,0.02,2.6384299199999997,1400.0,10.0
Cu 4nm,50,342.1052631578947,100.0,0.012,1.5830579519999999,1400.0,10.0
Cu 4nm,51,352.6315789473684,100.0,0.007,0.9234504719999999,1400.0,10.0
Cu 4nm,52,363.1578947368421,100.0,0.005,0.6596074799999999,1400.0,10.0
Cu 4nm,53,373.6842105263158,100.0,0.003,0.39576448799999997,1400.0,10.0
Cu 4nm,54,384.2105263157895,100.0,0.0018,0.23745869279999995,1400.0,10.0
