Output Dollar Year (User Input),Size (kt-CO2/y),Distance (mi),Geographical Scale,Location,Transport Mode,Container Type,Rail Transit Time Method,Rail Transit Time (h),Truck Long Haul Solution,Electricity Source,Grid Decarbonization Pathway,Grid Net Zero Year,GHG accounting,Fuel Economy Pathway,Negotiated Rail 'Base Rate' Reduction,Water content (ppm-mol),CO2 Pressure (bar),Operating Period (y),Construction Period (y),Construction Start Year,FINEX Parameters,IRR,Depreciation Period (y),Capitalization (% equity),Cost of equity (IRROE),Cost of debt (interest rate),Project Contingency Factor,Total ($/t-CO2 gross),CAPEX ($/t-CO2 gross),OPEX ($/t-CO2 gross),FINEX ($/t-CO2 gross)
2022,0.3983949652777778,10.0,State,California,Truck,Tanker,NA,NA,Intermediate Storage,Grid,Linear Reduction,2045.0,CO2 only,Historical Trends,0.1,0.0,15.0,30.0,1.0,2024.0,Calculated,0.0982,10.0,0.45,0.1077,0.0391,0.11196650454679086,8096.371864191626,1130.8349105489435,3978.8403375123385,2986.696616130343
2022,0.3983949652777778,20.0,State,California,Truck,Tanker,NA,NA,Intermediate Storage,Grid,Linear Reduction,2045.0,CO2 only,Historical Trends,0.1,0.0,15.0,30.0,1.0,2024.0,Calculated,0.0982,10.0,0.45,0.1077,0.0391,0.11196650454679086,8097.693635531939,1130.8349105489435,3980.161527466148,2986.697197516848
2022,0.3983949652777778,30.0,State,California,Truck,Tanker,NA,NA,Intermediate Storage,Grid,Linear Reduction,2045.0,CO2 only,Historical Trends,0.1,0.0,15.0,30.0,1.0,2024.0,Calculated,0.0982,10.0,0.45,0.1077,0.0391,0.11196650454679086,8099.015384932548,1130.8349105489433,3981.482717419957,2986.697756963647
2022,0.3983949652777778,40.0,State,California,Truck,Tanker,NA,NA,Intermediate Storage,Grid,Linear Reduction,2045.0,CO2 only,Historical Trends,0.1,0.0,15.0,30.0,1.0,2024.0,Calculated,0.0982,10.0,0.45,0.1077,0.0391,0.11196650454679086,8100.3371130058085,1130.8349105489435,3982.8039073737655,2986.6982950830993
2022,0.3983949652777778,50.0,State,California,Truck,Tanker,NA,NA,Intermediate Storage,Grid,Linear Reduction,2045.0,CO2 only,Historical Trends,0.1,0.0,15.0,30.0,1.0,2024.0,Calculated,0.0982,10.0,0.45,0.1077,0.0391,0.11196650454679086,8101.658820216166,1130.8349105489433,3984.1250973275746,2986.6988123396486
2022,0.3983949652777778,60.0,State,California,Truck,Tanker,NA,NA,Intermediate Storage,Grid,Linear Reduction,2045.0,CO2 only,Historical Trends,0.1,0.0,15.0,30.0,1.0,2024.0,Calculated,0.0982,10.0,0.45,0.1077,0.0391,0.11196650454679086,8102.980507191249,1130.8349105489435,3985.446287281384,2986.699309360921
2022,0.3983949652777778,70.0,State,California,Truck,Tanker,NA,NA,Intermediate Storage,Grid,Linear Reduction,2045.0,CO2 only,Historical Trends,0.1,0.0,15.0,30.0,1.0,2024.0,Calculated,0.0982,10.0,0.45,0.1077,0.0391,0.11196650454679086,8104.347355047126,1130.8349105489433,3986.767477235193,2986.7449672629896
2022,0.3983949652777778,80.0,State,California,Truck,Tanker,NA,NA,Intermediate Storage,Grid,Linear Reduction,2045.0,CO2 only,Historical Trends,0.1,0.0,15.0,30.0,1.0,2024.0,Calculated,0.0982,10.0,0.45,0.1077,0.0391,0.11196650454679086,8105.666654848289,1130.8349105489435,3988.088667189001,2986.7430771103445
2022,0.3983949652777778,90.0,State,California,Truck,Tanker,NA,NA,Intermediate Storage,Grid,Linear Reduction,2045.0,CO2 only,Historical Trends,0.1,0.0,15.0,30.0,1.0,2024.0,Calculated,0.0982,10.0,0.45,0.1077,0.0391,0.11196650454679086,8106.986022434898,1130.8349105489433,3989.4098571428103,2986.741254743144
2022,0.3983949652777778,100.0,State,California,Truck,Tanker,NA,NA,Intermediate Storage,Grid,Linear Reduction,2045.0,CO2 only,Historical Trends,0.1,0.0,15.0,30.0,1.0,2024.0,Calculated,0.0982,10.0,0.45,0.1077,0.0391,0.11196650454679086,8108.305456242208,1130.8349105489435,3990.7310470966195,2986.739498596643
2022,0.3983949652777778,200.0,State,California,Truck,Tanker,NA,NA,Intermediate Storage,Grid,Linear Reduction,2045.0,CO2 only,Historical Trends,0.1,0.0,15.0,30.0,1.0,2024.0,Calculated,0.0982,10.0,0.45,0.1077,0.0391,0.11196650454679086,8121.503120371232,1130.8349105489435,4003.942946634708,2986.72526318758
2022,0.3983949652777778,300.0,State,California,Truck,Tanker,NA,NA,Intermediate Storage,Grid,Linear Reduction,2045.0,CO2 only,Historical Trends,0.1,0.0,15.0,30.0,1.0,2024.0,Calculated,0.0982,10.0,0.45,0.1077,0.0391,0.11196650454679086,9300.069507737306,1214.319898296247,4900.180234342137,3185.5693750989226
2022,0.3983949652777778,400.0,State,California,Truck,Tanker,NA,NA,Intermediate Storage,Grid,Linear Reduction,2045.0,CO2 only,Historical Trends,0.1,0.0,15.0,30.0,1.0,2024.0,Calculated,0.0982,10.0,0.45,0.1077,0.0391,0.11196650454679086,9313.261613938355,1214.319898296247,4913.392133880226,3185.549581761883
2022,0.3983949652777778,500.0,State,California,Truck,Tanker,NA,NA,Intermediate Storage,Grid,Linear Reduction,2045.0,CO2 only,Historical Trends,0.1,0.0,15.0,30.0,1.0,2024.0,Calculated,0.0982,10.0,0.45,0.1077,0.0391,0.11196650454679086,9326.493928989958,1214.319898296247,4926.6040334183135,3185.5699972753955
2022,0.3983949652777778,600.0,State,California,Truck,Tanker,NA,NA,Intermediate Storage,Grid,Linear Reduction,2045.0,CO2 only,Historical Trends,0.1,0.0,15.0,30.0,1.0,2024.0,Calculated,0.0982,10.0,0.45,0.1077,0.0391,0.11196650454679086,10501.222850414262,1297.8048860435504,5822.841321125744,3380.5766432449686
2022,0.3983949652777778,700.0,State,California,Truck,Tanker,NA,NA,Intermediate Storage,Grid,Linear Reduction,2045.0,CO2 only,Historical Trends,0.1,0.0,15.0,30.0,1.0,2024.0,Calculated,0.0982,10.0,0.45,0.1077,0.0391,0.11196650454679086,10514.43596280524,1297.8048860435506,5836.053220663831,3380.5778560978592
2022,0.3983949652777778,800.0,State,California,Truck,Tanker,NA,NA,Intermediate Storage,Grid,Linear Reduction,2045.0,CO2 only,Historical Trends,0.1,0.0,15.0,30.0,1.0,2024.0,Calculated,0.0982,10.0,0.45,0.1077,0.0391,0.11196650454679086,10527.656657472106,1297.8048860435506,5849.26512020192,3380.5866512266366
2022,0.3983949652777778,900.0,State,California,Truck,Tanker,NA,NA,Intermediate Storage,Grid,Linear Reduction,2045.0,CO2 only,Historical Trends,0.1,0.0,15.0,30.0,1.0,2024.0,Calculated,0.0982,10.0,0.45,0.1077,0.0391,0.11196650454679086,11702.471562418767,1381.2898737908538,6745.502407909347,3575.6792807185643
2022,0.3983949652777778,1000.0,State,California,Truck,Tanker,NA,NA,Intermediate Storage,Grid,Linear Reduction,2045.0,CO2 only,Historical Trends,0.1,0.0,15.0,30.0,1.0,2024.0,Calculated,0.0982,10.0,0.45,0.1077,0.0391,0.11196650454679086,11767.06242203061,1395.600821722181,6758.714307447437,3612.747292860991
2022,0.7967899305555556,10.0,State,California,Truck,Tanker,NA,NA,Intermediate Storage,Grid,Linear Reduction,2045.0,CO2 only,Historical Trends,0.1,0.0,15.0,30.0,1.0,2024.0,Calculated,0.0982,10.0,0.45,0.1077,0.0391,0.11196650454679086,4121.716022209965,577.4363609775503,2019.2476491877992,1525.032012044615
2022,0.7967899305555556,20.0,State,California,Truck,Tanker,NA,NA,Intermediate Storage,Grid,Linear Reduction,2045.0,CO2 only,Historical Trends,0.1,0.0,15.0,30.0,1.0,2024.0,Calculated,0.0982,10.0,0.45,0.1077,0.0391,0.11196650454679086,4123.037820430709,577.4363609775503,2020.5688391416077,1525.0326203115505
2022,0.7967899305555556,30.0,State,California,Truck,Tanker,NA,NA,Intermediate Storage,Grid,Linear Reduction,2045.0,CO2 only,Historical Trends,0.1,0.0,15.0,30.0,1.0,2024.0,Calculated,0.0982,10.0,0.45,0.1077,0.0391,0.11196650454679086,4124.359590203007,577.4363609775503,2021.8900290954168,1525.0332001300405
2022,0.7967899305555556,40.0,State,California,Truck,Tanker,NA,NA,Intermediate Storage,Grid,Linear Reduction,2045.0,CO2 only,Historical Trends,0.1,0.0,15.0,30.0,1.0,2024.0,Calculated,0.0982,10.0,0.45,0.1077,0.0391,0.11196650454679086,4125.681331941591,577.4363609775503,2023.211219049226,1525.0337519148145
2022,0.7967899305555556,50.0,State,California,Truck,Tanker,NA,NA,Intermediate Storage,Grid,Linear Reduction,2045.0,CO2 only,Historical Trends,0.1,0.0,15.0,30.0,1.0,2024.0,Calculated,0.0982,10.0,0.45,0.1077,0.0391,0.11196650454679086,4127.003046177239,577.4363609775503,2024.5324090030342,1525.034276196655
